symbol,date,open,high,low,close,adj_close,volume
XOM,2022-11-11,100.7344,102.4524,100.6539,101.9603,101.9603,20518900
XOM,2022-11-14,101.5905,103.4034,101.4642,102.2579,102.2579,20858300
XOM,2022-11-15,102.6458,103.3042,101.8069,102.9434,102.9434,19373800
XOM,2022-11-16,102.3211,103.0607,100.8959,101.843,101.843,13591000
XOM,2022-11-17,100.3818,102.1046,99.8947,101.9783,101.9783,12425900
XOM,2022-11-18,100.03,101.4551,98.8665,101.0944,101.0944,15415000
XOM,2022-11-21,99.2092,100.3006,96.9452,100.0932,100.0932,20973000
XOM,2022-11-22,101.2116,103.2501,100.5081,102.9885,102.9885,17719100
XOM,2022-11-23,101.3108,102.7811,101.1124,102.4744,102.4744,11546700
XOM,2022-11-25,102.7179,103.3764,101.9783,102.1136,102.1136,7136000
XOM,2022-11-28,99.8135,100.5351,98.8755,99.0469,99.0469,23015500
XOM,2022-11-29,99.7684,100.8418,99.0288,99.7053,99.7053,14453200
XOM,2022-11-30,100.6073,100.932,99.0198,100.4269,100.4269,23158100
XOM,2022-12-01,100.6975,101.0853,99.3806,99.9398,99.9398,14398300
XOM,2022-12-02,98.7763,100.7606,98.4966,99.092,99.092,15248400
XOM,2022-12-05,99.8496,100.4449,95.5562,96.377,96.377,19287700
XOM,2022-12-06,95.5201,96.5483,93.0396,93.6981,93.6981,21197000
XOM,2022-12-07,93.6079,94.573,92.3361,93.4906,93.4906,20061700
XOM,2022-12-08,95.8628,96.3319,93.5448,94.1852,94.1852,21128800
XOM,2022-12-09,94.3385,95.5652,93.1749,93.3914,93.3914,21298200
XOM,2022-12-12,93.653,95.8268,93.4365,95.6915,95.6915,20413200
XOM,2022-12-13,97.2339,97.9013,96.5303,96.7378,96.7378,24305300
XOM,2022-12-14,97.4052,97.6849,95.3848,96.0252,96.0252,17597300
XOM,2022-12-15,95.006,95.7636,93.5357,95.1052,95.1052,15365100
XOM,2022-12-16,93.5267,95.2315,93.0216,94.4377,94.4377,54596600
XOM,2022-12-19,94.9428,95.7907,94.1491,94.8616,94.8616,13611100
XOM,2022-12-20,94.8617,96.9723,94.7715,96.2327,96.2327,14680000
XOM,2022-12-21,97.6759,97.9464,96.6566,97.4684,97.4684,13565400
XOM,2022-12-22,97.315,97.5856,93.8965,95.5021,95.5021,13213000
